,idiom,title,contents
357,수어지교,"오봉산 자전거길, 그리고 수어지교","내 인생에 이런 사람이 있어 좋다. 밤길 조용하고 어두운 곳에 있으면 외로울 줄 알았는데 느낌이 참 좋네. 로맨틱한 순간이라 남겨놓고 싶었어. 사실 로맨틱보다는 쫌 무서웠음. 2021년 8월4일 오봉산 자전거길, 그리고 수어지교 어쩔거나~ 가로등불빛을 보고 무모하게 달려드는 날벌레들을."

359,수어지교,수어지교 : 물과 고기의 사귐이라는 뜻,"수어지교(水魚之交) 물과 고기의 사귐이란 뜻으로, 매우 친밀하게 사귀어 떨어질 수 없는 사이 를 말함."


366,수어지교,"미니베이 TV 제 37 화 "" 수어지교 """,수어지교 [水魚之交] 水 : 물 수 魚 : 물고기 어 之 : 갈 지 交 : 사귈 교 매우 친밀하게 사귀어 떨어질 수 없는 사이 물고기와 수초는 수어지교와 같이 떨어질래야 떨어질 수 없는 그런 사이가 아닐까 생각합니다. 그래서 청벽님은 오늘도 수어지교를 위해 열심히 모심기를...
367,수어지교,수어지교,아 모르겠고 채영이랑 여러 얘기를 하다가 집에 옴 그리고 오늘 제목인 수어지교의 뜻은 이런 뜻인데 그 이유는 내가 한번 친구를 사귀면 깊게 사귀기 때문에 오늘 만난 친구들이랑 한 모든 얘기가 진짜 찐친들 사이에서만 할 수 있는 그런 얘기들만 했기 때문임 그리고 오늘 새벽엔 신서연 소개서가...
373,수어지교,[단편](수어지교 11월 팸미션)누군가의 과거,머릿속에 스쳐가는 사람들의 모습들... 작년이었다. 지하세계에서 인간계로 올라온 날 아니 그렇다고 믿었던 날... 내 주머니에서 빠진 손수건을 주워주었던 남자 지금은 내 남자친구... 나는 24살이고 여자이다. 이름은 이아람 2년전이었나? 과제를 위한 자료를 찾던 중 정신을 잃었다. 깨어나보니...


379,수어지교,수어지교가 보내온 달력 연하장,<시언재 편지> 11 수어지교가 보내온 달력 연하장 /정희성 제주 농부시인 신철호 인형이 덩치 큰 연하장을 보내왔다. 논어를 주제로 손수 제작한 달력이다. 정갈한 필체로 건강과 문운을 빌어주니 올 한 해 형통과 평강은 따논 당상이다. 1979년 동악에서 국어국문을 동문수학한 동기가 서른...

388,수어지교,수어지교(水魚之交).,"水魚之交(수어지교). 의미. x물고기는 물이 있어야 살 수 있는 것과 같이x ☜ 물과 물고기의 섞임. x부부나 군신관계의 서로 끊을래야 끊을 수 없는x 친밀한 사이를 뜻한다. ☜ 눈감아 주는 사이. x변하지 않는 깊은 교우 관계에도 이 성어를 쓴다.x ☜ 변하지 않는 것이 아니라, 믿음의 사이...."

400,개과천선,"개과천선, 대도 조세형 구속","우리 속담에 세 살 버릇 여든까지 가고, 바늘도둑이 소도둑 된다고 했다. 그리고 개과천선(改過遷善)은 사전에만 있다. 개과천선은 드라마나 영화 소설 속에는 등장하지만 현실에는 없다. 채널을 돌리다가 우연히 보게 된 JTBC ‘사건반장’에 조세형이 나오고 있었다."
401,개과천선,[독서] 서울 자가에 대기업 다니는 김 부장 이야기 1 : 이 시대의 꼰대 개과천선 이야기,"© icidius, 출처 Unsplash <감상평> 이 시대의 꼰대 개과천선 이야기 리키 가독성이 워낙 좋아 서점에서 들자마자 바로 읽어버린 책이다. 너무나도 2021년 부동산 대상승장에 잘 어울리는 책이었다. '김 부장'이라는 캐릭터를 통해서 부동산 이야기를 풀어나가는 작가의 필력에 감동했다. 완전 같을..."

404,개과천선,"제 2의 탄생기, 질풍노도의 시기를 넘어 가치관을 가지게 된 양아치의 개과천선 이야기","양아치 역할도 잘 어울렸고, 개과천선하여 정의로운(?) 강력반 형사의 역할도 잘 어울렸다. 양아치를 교육시켜 변호사도 만들고, 경찰도 만드는 범표(강신일)는 교육감 후보로 내보내야 할 것 같은 영화이다. 기업이나 조직에서 훗날을 위해 투자하여 키우는 장학생. 그 개념을 처음 알게 해준..."

408,개과천선,"""과거의 잘못을 뉘우치고 좋은 사람이 되었다.""는 뜻의 고사성어 개과천선(改過遷善)","바로 개과천선 (改 고칠 개, 過 허물 과, 遷 옮길 천, 善 착할 선) 개과천선이란, ""지난 허물을 고치고 착한 사람이 되다.""라는 뜻이 있습니다. 즉, ""과거의 자신의 잘못된 행동을 고치여 좋은 사람으로 거듭나다.""라는 의미입니다. 평상시에 자주 사용되는 필수 고사성어인 만큼 잘 기억하셨다가..."
409,개과천선,개과천선(改過遷善),따라서 개과천선이라함은 “지난 날의 잘못과 허물을 고치고 바르고 착한 사람이 된다”는 것을 말한다. 인간은 불완전한 존재이다. 누구나 인생을... 개과천선해서 그 유혹을 이겨냈기 때문에 화(禍)를 면하게 되었던 것이다. 위와같은 어사 박문수에 얽힌 이야기가 진짜 사실이냐고 필자에게 물을...

415,개과천선,개과천선(改過遷善)??!!,"젊은 조카한테 과거의 제가 너무 부끄러워서, 이제 개과천선했으니 과거는 잊어달라고 간곡히 부탁을 했습니다. 무슨 얘기냐구요. 예전, 30년쯤 전... ""ㄱㅁ아, 그거 좀 잊어 주면 안되겠나?, 이모부 정말 개과천선했다. 제발 옛날일 좀 잊어다오"" 이렇게 간절히 부탁했습니다. 사실 지금은 운전 중 욕..."


418,개과천선,"개과천선하다, 환골탈태하다, 심기일전하다 영어 표현","의미에서 개과천선(改過遷善) 하다, 환골탈태(換骨奪胎) 하다, 심기일전(心機一轉) 하다"" 라는 말을 영어로는 어떻게 표현하고 있는지 알아보려고 합니다 우선 국어사전에서 그 뜻을 찾아보았더니 아래와 같이 풀이하고 있더군요... . ▶ 개과천선..."

424,개과천선,지나간 허물을 고치고 착하게 된다는 고사성어 개과천선(改過遷善),지나간 허물을 고치고 착하게 된다는 고사성어 개과천선(改過遷善) 꽃부추라는 아르메니아 진(晉)나라 헤제(惠帝) 때 양흠 지방에 주처(周處)라는... “자네가 굳은 의지를 가지고 改過遷善(개과천선) 지난날의 허물을 고치고 새롭게 착한 사람이 된다면 자네의 앞날이 무한한 것일세.” 육가 형제의...
425,개과천선,"210522 - 한 여름의 꿀호떡, 개과천선 배우님","개과천선 배우님 플라이스, KW북스 사진출처 : 리디북스 하루종일 아이스크림, 호떡 먹은 얘기에서 끝낼까 하다 오늘 새로 읽기 시작한 웹소설도... 제목 그대로 개과천선한 배우님 이야기다. 오늘까지 140화가 나온 듯하고, 연재 중이며... 나는 방금 전까지 15화까지 읽었네. 엄청 잘나갔던이 아니라..."

431,개과천선,요.알.못 자취생의 개과천선,간이 맞질 않아 물을 더 붓는다 -> 밍밍해져서 다시 간을 한다 -> 너무 짜다 -> 물을 더 넣는다 -> 반복하다보면 작은 한 사발이 아닌 들통이 된다. 이제는 이런 모습을 멀리한 지 오래되었다. (뿌듯) 불과 작년 초까지만 해도 자취를 한지 나름 오래됐음에도 요리를 잘 할 줄 몰랐다. 내가 산 재료가...
432,개과천선,허성태 배우님의 개과천선,허성태 배우님이 개과천선 한걸까요? 멈춰! 마약마케팅 켐페인에 동참하시는 걸까요? 허성태 배우님! 계속 이런 모습을 보여주세요 그러면 더욱... 더욱 멋진 배우가 되시길 바랍니다. #멈췄습니다마약마케팅 #허성태 #마약퇴치켐페인 #멈춰마약마케팅 #개과천선 #연기력 #배우허성태 #허성태배우
439,개과천선,개과천선,사실 블로그 쓰는거 꽤나 재밌음 진심 저 이제 개과천선 해볼게요 욕도 끊고 뉴 라이프를 사는거야ㅑ! 이 쿠키런 빵 추천함미다 다들 사먹으세요 나애 소망임 Previous image Next image 런던 잘 갔다와··· Previous image Next image 그리고 과소비의 하루 시험기간 과소비 국룰 새벽에 자두...

465,조령모개,"사설필사 / 불신·혼란 키우는 '조령모개' 부동산 정책, 이젠 신물 난다","원문 한국경제 / 불신·혼란 키우는 '조령모개' 부동산 정책, 이젠 신물 난다 https://www.hankyung.com/opinion/article/2021082457671 요약 정부·여당의 ‘조령모개(朝令暮改)’식 부동산 정책이 끝없이 이어지며 국민 불신과 시장 혼란을 키우고 있다. 이젠 ‘갈지(之)자 정책’에 신물이 난다는 볼멘소리가..."
466,조령모개,그럴거 알았지?_조령모개(朝令暮改),"시설면적 8㎡면적마다 1명으로 제한할 경우 9시 이후에도 운영이 가능하다고 하고 사우나는 역시 8㎡당 1명을 수용할 경우 시간제한 없이 운영이 가능하다는데 이게 전용면적인지, 임대면적인지도 알수가 없다. 코로나는 야행성인가보다. 조령모개(朝令暮改): 아침에 내린 명령을 저녁에 바꾼다."
467,조령모개,"정족지세, 제왕절개, 조령모개, 조삼모사, 좌고우면, 좌불안석, 주객전도, 주마가편","조령모개 =조변석개 조령모개는 아침에 명령을 내리고서 저녁에 다시 바꾼다는 뜻으로, 법령이나 명령이 자주 뒤바꾸는 것을 이르는 말입니다 이랬다 저랬다 하는 사람들이죠 같이 일하기 가장 힘든 스타일이에요!!! 유의어는 조변석개가 있습니다 326. 조삼모사 조삼모사는 아침에 세 개, 저녁에..."

473,조령모개,[칼럼 베껴쓰기 540] - [오후여담] 전동킥보드法 조령모개 / 문희수 논설위원...,"무능 국회에 국민만 고생한다. 출처:[오후여담] 전동킥보드法 조령모개 / 문희수 논설위원 / 문화일보 2021.4.22 전동킥보드 뭐가 뭔지 어렵네요, 하여간 안전 및 과태료 부과에 대해 조심합시다. 무능 국회 때문에 국민이 고생한다. 헐!!! 다몬인턴"
474,조령모개,‘작심삼일(作心三日)’에 대하여…‘조령모개(朝令暮改)’!,"독자제현께서는 부디 새로운 다짐을 잘 지켜내기를 기원합니다. ‘작심삼일’과 유사어로는 ‘조령모개’(朝令暮改: 법령을 자꾸 바꿔서 종잡을 수 없음에 비유하는 말. 변덕이 죽 끓듯 한다), ‘조변석개’(朝變夕改: 일을 자주 뜯어고침) 등이 있습니다."
478,조령모개,투자자는 朝 令 暮 改 (조령모개)해야 한다 !,"朝 令 暮 改 조령모개는 ‘아침에 명령을 내리고 저녁에 고친다’ 는 뜻이다. 삼성의 경영자들은 ‘""과를 내기 위해서라면 조령모개도 부끄러운 일이 아니다"" 는 결의를 다졌다고 한다. 필요하다면 체면을 버리고 스스로 했던 말을 번복하는 습관들이 오늘의 삼성을 만든것이다. 디지털 시대는 아침이..."
479,조령모개,사자성어 朝令暮改 조령모개,"3월9일 로이터 : 태국정부 암호화폐에 대한 세금 완화 발표 3월23일 로이터 : 태국, 암호화폐를 이용한 결제 4월부터 금지 이게 뭔 말이냐?? 4자성어 중 朝令暮改(조령모개)를 연상시키는 태국정부 크립토 신봉자들 멘붕 인 듯"

481,조령모개,"조령모개(朝令暮改), 조반석죽(朝飯夕粥)","朝令暮改(조령모개): 법이나 명령을 자주 바꿈 = 조변석개 朝飯夕粥(조반석죽): 구차하고 가난한 생활 朝 아침 조 - ① 令 명령 령 - ② 暮 저녁 모... 비슷한 말 = 조변석개(朝變夕改), 고려공사 삼일(高麗公事三日) 예시문을 보자 ex) 입시제도가 조령모개(朝令暮改)로 바뀐다. 朝 아침 조 - ① 飯 밥..."
482,조령모개,"경희애문화 오늘의 사자성어, 조령모개 [朝令暮改]",경희애문화 오늘의 사자성어 조령모개 [朝令暮改] [朝:아침 조/令:명령 령/暮:저물 모/改:고칠 개] 아침에 명령을 내렸다가 저녁에 고친다. 법령이나 착수한 일을 자주 뒤바꾸다. 조령모개 [朝令暮改] [朝:아침 조/令:명령 령/暮:저물 모/改:고칠 개] 아침에 명령을 내렸다가 저녁에 고친다. 법령이나...
483,조령모개,유형별 공부 잘하는 비법. 8. 조령모개의 의지박약형.,"안녕하세요 시옷연구소입니다 오늘은 유형별 공부 잘하는 비법 8번째, 조령모개의 의지박약형입니다. 남에게 호감받는 타입이며 밝고 경솔하지만 무엇보다 꾸밈이 없다 덤벙댄다고 주의를 받는다 싫증을 빨리 느낀다 어느 노트도 완전하게 사용하지 않는다 수업 집중력이 짧다 실행점 남에게..."
484,조령모개,[일상] 조령모개(朝令暮改),1. 분명 이제 5번 정도 출근하기로 했던거 같은데.... 내가 그걸 심지어 2달부터 이야기했는데.... 아직 공고를 왜 안올렸는가 내심 궁금해하긴 했었다만 여차 저차해서 하루 더 출근해야할 거 같다. 쩝.. 집 간다해도 별 다른 계획이 없긴 하지만 이렇게 되니 좀 당황스럽다. 1년간 일한 정情이란게...

486,조령모개,"아사히신문 사설 2021.12.04. 입국 제한 조치, ""조령모개""로 불신감 악화","（社説）水際対策 不信深めた朝令暮改 2021年12月4日 5時00分 (사설) 입국 제한 조치, ""조령모개""로 불신감 악화 2021년 12월 4일 自国民を保護するという国家の基本的な責務を放棄した。そう批判されてもやむを得ない。 新型コロナの感染防止対策の一環として、..."


491,조령모개,[586] 오늘 사자성어 조령모개(朝令暮改)의 뜻은?,날 조령모개(朝令暮改) 朝-아침 조 令-하여금 령 暮-저물 모 改-고칠 개 아침에 내린 명령을 저녁에 바꾼다는 뜻. 범령의 개정이 빈번하여 믿을 수 없음. 아침에 조세를 부과하고 저녁에 거둬들임. #오늘사자성어 #사자성어 #한자성어 #고사성어 #글그림 #조령모개 #작심삼일 #도쿄올림픽17일차...
492,조령모개,조령모개(朝令暮改)의 발상으로 살아라.,"조령모개(朝令暮改)의 발상으로 살아라. 오늘 이웃 블로그에 ""조령모개 사고를 지녀라""라는 제하의 글이 실렸다. 공감이 가는 글이다. 세븐 아이 홀딩스 대표로 있는 스즈키 회장의 ""조령모개의 발상""이라는 책의 내용을 인용한 글인데 마침 필자도 2년전 출간한 졸저 ""살아있는 퇴직이야기""에..."

494,조령모개,290. 조령모개 (朝令暮改),"조령모개 (朝令暮改) 아침에 내린 명령이 저녁에 바뀌다. 일관성이 없이 갈팡질팡하다. 조조의 논귀 속에 말하기를, '급박한 정치는 포학하고 조세와 부역은 시도 때도 없고, 아침에 명령이 내려오고 저녁에 다른 명령이 내려온다'라고 했다."

496,조령모개,고사성어 조령모개 뜻,"법을 자주 고쳐 일관성이 없는 경우를 고사성어로 '조령모개'라고 합니다. 조령모개는 아침에 내려온 명령이 저녁에 바뀐다는 뜻으로 즉, 법을 자주 고쳐 일관성이 없다는 의미로 사용되고 있습니다. 어느 나라든지 정책에 일관성이 없어 조령모개하는 경우가 많은데요, 이런 경우 국민들에게 혼란만..."
497,조령모개,조령모개,나쁜 정치의 표본이 조령모개이다. 요즘엔 잘 안 쓰이는 말이지만 얼마 전만 해도 망하는 나라의 증상에 가장 많이 등장하는 말이었다. 아침에 명령을 내리고 저녁에 수정한다는 말인데 가장 실력 없고 졸렬한 정치라는 거다. 법과 명령을 내린 뒤에 바로 보완책을 내는게 가장 전형적인 조령모개이...
499,조령모개,조령모개 사고를 지녀라,"이를 '조령모개'라고 한다면, 망설임없이 일관해야 한다. 예전에 한 말과 다른 말을 하면 한 입으로 두말한다고 비난 하는 사람도 있었으나 세상이 이렇게 변화하고 있는 이상, 전에 옳았던 것이 지금은 옳지 않을 수도 있다. 변화의 시대에는 오히려 조령모개가 필요하다. 변화가 극심한 시대일수록..."
500,조령모개,조령모개의 교육 정책이 나올 수밖에 없는 이유!,"핵심은 우리나라 교육 정책이 너무 자주 바뀐다는 것인데, 사실 우리나라 교육 정책은 조령모개가 아닙니다. 겉으로 보기에만 조령모개인 것 같지 IMF 이후, 특히 MB 이후 우리나라 입시 정책은 매우 일관성 있는 방향으로 진행되어 왔습니다. 그런데 왜 표면적으로는 조령모개처럼 보이느냐? 정부..."

503,조령모개,조령모개의 변심,"조령모개 살다보면, 조석으로 마음이 다릅니다. 당연한 현상으로 보입니다. 우주만물이 변하는데, 돌부처의 마음인들 가만있을 수 있을까? 높은... 조령모개로 변심하는 것이 잘하는 것인지 햇갈립니다. 워낙 주변에서 요즘 햇갈리게 만들다보니, 산좋고 물좋은 멍석깔린 곳이 그립습니다. 멍석위에..."
504,조령모개,조령모개,"조령모개라는 뜻으로 알고 있는데 이것의 활용예(문장 같은 것)가 궁금합니다. A 1. chop and change (동사) = chop about (동사): 조령모개하다 First you wanted to eat out, then you decided to cook at home, and now you say you want to order take-out. Do you..."
507,조령모개,조령모개 : 무슨 일을 자주 변경함,朝令暮改(조령모개) : 무슨 일을 자주 변경함


511,조령모개,[칼럼] 감독의 중요한 자질은 '조령모개'!?,"지휘관의 중요한 자질은 '조령모개(朝令暮改)'!? 고쿠보 감독의 나카타 4번 타순 고정을 생각하다. 2014년에 타점왕을 차지하는 등 장타력에 찬스에... 조직의 장에게 있어 '조령모개(朝令暮改)'는 필요한 자질 '조령모개(朝令暮改, 아침에 내린 명령을 저녁에 고친다)는 지도자의 상사(常事)'라는..."

514,조령모개,조령모개와 아메바조직의 유연성,아메바 경영의 아메바 조직의 유연성은 '조령모개(朝令暮改)'로 표현된다. 이 말은 아메바 경영을 실천할 때 경직된 조직이어서는 안되며 현재의... 주의) 조령모개는 가능하나 이는 최적이 상태를 만들기 위한 지속적인 관심과 심사숙고에 의하여 만들어지는 것이지 잦은 변경(부화뇌동)은 조직 내부...
517,조령모개,27. 당신은 어떤 유형의 엄마일까? / 조령모개朝令暮改 형,"그 때, 그 때 달라요~~ 조령모개朝令暮改 형 - 자식에게 가장 중요한 교육환경은 바로 부모이다 인간은 순간순간 작용하는 감정으로 인하여 안팎이 항상 일치하기가 어렵다. 그러나 스스로 자기감정을 의식하고 조절하여 절제와 통제를 얼마나 잘할 수 있는지에 따라 외부로의 표출은 크게 달라진다...."

520,조령모개,조령모개,그는 “필요하다면 체면을 버리고 내가 했던 말을 취소하기도 한다”면서 “결과를 내기 위해서라면 조령모개(朝令暮改:아침에 내린 명령을 저녁에 바꾼다)도 전혀 부끄러운 일이 아니다”라고 덧붙였다. 성과에 대한 강렬한 의지는 책임감에서 비롯된다. 사업 확장과 비례해 늘어나는 직원·고객...
521,조령모개,조령모개(朝令暮改),"이번 일을 지켜보면서 조령모개라는 말이 떠오른다. 아침에 영(令)을 내렸다가 저녁에 바꾼다는 말이다. 이 말이 무슨 말인지는 굳이 설명할 필요가... 조령모개 - 다시 영을 내리면서 부끄럽다는 생각이 안 들까? 보통은, 자기가 한 말을 뒤집으면 부끄럽고 가슴이 쿵쾅거리고 얼굴이 뻘개지고 창피한..."
525,조령모개,(리더십)조령모개리더십vs꼰대리더십/경영환경변화/트렌드변화/동아애드곽대훈이야기,"조령모개 리더십은 선택이 아닌 필수이다. 요즘에 와서 '조령모개 리더십'에 대하여 생각해보게 된다. 가능하면 리더로서 언행일치를 할려고 노력하고, 일관성을 유지할려고 노력한다. 하지만 경영환경의 변화가 느리고, 트렌드 변화가 느리다면 언행일치를 행하고 일관성을 유지하는 것은 쉬울 수..."
526,조령모개,조령모개(朝令暮改),"그래서 우리나라 교육은 조령모개(朝令暮改)라는 말을 듣습니다. 조령모개(朝 : 아침 조, 令 : 법 령, 暮 : 저녁 모, 改 : 고칠 개)의 뜻은 아침에 내린 명령을 저녁에 고친다는 뜻으로 정책에 일관성이 없음을 의미하는 것입니다. 정부가 조령모개를 일삼는 것은 정책에 대한 확신이 부족하기..."
529,조령모개,조령모개(朝令暮改),"그리고 넷째는 조령모개(朝令暮改), 아침에 내린 명령을 저녁에 다시 고치는 즉흥적이고 일관성 없는 행정입니다. 조령모개라는 널리 알려진 고사성어의 유래입니다. 《한서(漢書)》 <식화지(食貨志)>에 나오는 내용입니다. 농사를 망치는 네 가지 악재의 하나로 조령모개를 거론하였다는 점은 깊이..."


532,다다익선,"영어도서관, MYON 마이온 다다익선 공동구매 40% 할인 / 초등학생 영어원서 리딩","^^^^ 관심있으신 분들은 공동구매로 이용하세요~!^^^^ ※본 포스팅은 2/4일에 수정되었으며, 다다익선 공동구매의 기간과 내용은 주최측의 사정으로 변경 될 수 있습니다. #마이온공동구매 #마이온 #영어원서도서관 #영어도서관 #초등학생리딩 #리딩게이트 #마이온다다익선이벤트 #영어도서관공동구매"


535,다다익선,법인설립목적은 다다익선?(많으면 좋은가),"법인설립목적은 다다익선? 그렇다면 법인설립목적은 다다익선일까요? 많으면 많을 수록 좋은 걸까 라는 궁금증이 생깁니다. 100% 옳은 정답은 아닙니다. 많으면 많을 수록 다양한 사업을 진행하고 성장 가능성이 크며, 다양한 수익모델을 가지고 있기에 안전하다고 비춰질 수 있습니다. 그렇지만..."
536,다다익선,"초등 영어 리딩 교재 <My Next Reading>, 리딩은 다다익선 ㅋ","ㅎㅎㅎㅎ 원서 동화책이건 리딩 교재이건, 리딩은 다다익선입니다. ^^ 다음 번엔, 이러한 리딩 교재를 좀 더 효율적으로 학습할 수 있는 여러 방법을 포스팅해볼게요. CD듣고 읽고 끝낼 순 없잖아요? ㅎㅎ 그럼 읽은 내용을 어떻게 강화시켜줄 수 있을지, 노하우 몇 가지를 알려드릴게요...."




551,다다익선,"전자렌지 치즈라면 만드는법, 다다익선 CHEESE요리","다다익선 CHEESE 전자렌지 치즈라면 만드는법 INTRO 생각해보니 냉장고에 슈레드치즈 넣어둔지 꽤 오래됬더라고요. 개봉한지 몇 달이고 마지막으로... 배운것은 다다익선, 치즈는 많이 넣어야 된다는것 이네요. 진짜, 언젠가 치즈오븐스파게티 수준으로 끓여볼거에요. ㅡㅡ;; 그런데 칼로리 생각하면..."

553,다다익선,'다다익선'의 삶을 살기로 했다.,"그렇다고 아무것도 안하고만 있을수는 없고, 그런 성격도 못됩니다. 그저 많이 읽고, 많이 쓰고, 많이 만나고, 해보지 않았던 새로운 시도들, 새로운 사람들을 만나다 보면 자연스럽게 알게 되는 날이 올거라는 희망을 가지고 '다다익선'의 삶을 살기로 했습니다."

569,다다익선,인천 도화동 마카롱 맛집 조개마카롱 곰돌이마카롱 다다익선,다다익선 마카롱 맛보고 소개하고 싶어지더라고요 영업시간 월-토 11:00 - 21:00 매주 일요일 휴무 주차 건물 뒤편에 주차장이 있고 맞은편 청운대에 편하게 주차 가능해요 한동안 마카롱에 빠져있어서 부평남부역에 위치한 콩설기 마카롱 가게를 자주 갔었는데 너무 멀어요~~ 우주괴물님이 다다익선...
572,다다익선,포토샵 사용자정의모양도구 다다익선 숨겨진 수백 개 Legacy shape 찾아오기,"포토샵 사용자정의모양도구, 다다익선 숨겨진 수백 개 Legacy shape 찾아오기 모르면 못 찾아오는 사용자정의모양도구를 찾아오는 방법입니다 이 custom shape tool은 많이 보유하고 있을수록 작업에 도움이 되는 도구인데요 하나씩 만들어서 써도 되지만 제일 좋은 것은 언제나 누가..."
574,다다익선,연말선물은 29CM 다다익선물로 혜택까지 챙기자 !,"29CM 연말선물은 29CM 다다익선물로 혜택까지 챙기자 ! 안녕하세요 패션블로거 코코다니입니다 :) 드디어 설레는 12월이 다가왔습니다매년 다가올... 이벤트,연말에도 다다익선물을 소개해드리려고 합니다 < EVENT > 21.12.01 ~ 21.12.31 29CM 선물하기로 1만원 이상 선물을 한 모든 회원을 대상* 선물하기..."

583,다다익선,다다익선,"“그럼, 그대는 어느 정도 군대를 거느릴 수 있는가?” “저야 다다익선이지요. 많으면 많을수록 좋다는 말입니다.” “흠, 나는 기껏해야 10만이고... 것이옵니다.” ‘다다익선(多多益善)’은 여기에서 나온 말이다. 한신이 자기가 지닌 군사 능력을 한껏 자랑 삼아 한 말에서 비롯했는데 지금은..."
584,다다익선,여자손목시계브랜드 다니엘 웰링턴 다다익선 썸머할인을 즐겨~,다다익선이란 이름이 딱~ 어울리는 할인이벤트에요 꼭 기억해야하는 것은 여자손목시계브랜드 공식 홈페이지에서 주문해야한다는 것과 썸머 프로모션 전용 할인코드 DW8181 요 할인코드는 여름프로모션 기간에만 사용할 수 있어요(~2021.07.29) 일단 원하는 제품을 장바구니에 담아도 25만원 이상이면...
585,다다익선,다다익선을 노려라,여러종류가 있었는데 그 중에서 여러 개를 맛봣는데 다 맛있더라며~ 아근디 다다익선이라며 2개사면 50%할인을?? 우와~ 그걸 보더니 큰딸이 나보고 고르랜다 사준다며...ㅋㅋㅋㅋ 여기에서 우리들의 실수가ㅠㅠ 같은 종류를 골라야하는데 다른 종류를 2개를~ 와사비아몬드와 청양마요땅콩이었나?...




593,다다익선,스트랩은 다다익선! 오버기어 갤럭시 워치3 스트랩,ㅎㅎㅎ 다다익선이란 스트랩을 오늘은 오버기어 갤워치 스트랩으로 선택해 봤습니다^^ 또 아시겠지만.. 정품은 좀 비싼거 아시죠? 정품과 동일한 가성비를 가진!! 동일한 퀄리티라면 추천할만 하겠죠?^^ 제가 쓰던 기존 스트랩은 밀레니얼루즈!! 질릴만 하죠? ^^ 짜잔 오버기어 갤워치...


600,다다익선,갤럭시워치 스포츠루프 우먼스9999 줄질은 다다익선,몇 달 전에 갤럭시워치4를 구매해서 잘 사용하고 있는 얌생이에게 스트랩을 선물했었어요 워치의 묘미는 줄질이 맞더라구요 ㅋㅋㅋㅋㅋㅋ 스트랩은 다다익선! 그동안 사용한 블랙은 잠시 제쳐두고 오늘은 여름에 어울리는 스트랩 후기를 써볼게용 #갤럭시워치스포츠루프 #갤럭시워치스트랩교체...


603,백전백승,사당동임플란트 지피지기면 백전백승,사당동임플란트 지피지기면 백전백승 임플란트는 이제 성인이라면 모르는 사람이 없을 정도로 아주 대중적인 치료로 자리 잡고 있는데요. 치료 자체에 대해서는 누구나 알고 있지만 깊은 내용에 대해서는 잘 모르는 경우가 많고 여러 가지 오해와 편견이 널리 퍼져있기도 합니다. 그러다 보니 치료를...
604,백전백승,게임을 알고 전략을 알면 백전백승 삼국지워 공략,"게임을 알고 전략을 알면 백전백승 삼국지워 공략 모바일 SLG 게임으로 많은 사람들이 자신의 주성을 키우고 있는 삼국지워(삼국지WAR)가 런칭하고 난 후 꽤나 시간이 흘렀습니다. 런칭과 동시에 구글스토어 20위권에 안착하는 등 기염을 토해내며, 나날이 인기를 끌고 있고 게임 내에는 여러가지..."



615,백전백승,[인문] 나는 왜 참으려고만 할까? : 지피지기면 백전백승,"지피지기면 백전백승 내 경험상 내 감정의 원인을 알고 감정을 내면화 시켜 나만의 해결책을 만들어 감정을 통제하다 보면 어느 순간 내가 어떤... 지피지기면 백전백승이라는 말이 있듯이, 나 자신을 알게 되면 삶에서 발생하는 수많은 감정과 상황의 굴곡 속에서 결국에는 승리를 이루어내지..."
616,백전백승,지피지기면 백전백승! 모의테스트로 실력 확인하기,"그야말로 지피지기면 백전백승이라고 할 수 있죠! 중간고사에 비해 범위도 넓고, 준비 시간도 짧아 상대적으로 어렵게 느껴지는 기말고사지만 공부의 기반이 튼튼하게 잡혀 있다면 어떤 어려운 상황에서도 시험을 두려워할 필요가 없습니다. 시험에 대한 부담감을 덜어주고, 장점은 극대화하고..."


619,백전백승,[브레이브힐 어람점] 백전백승 다이어트 성공비법 인바디체크,오늘은 내몸을 알면 백전백승 다이어트 성공하는 인바디 체크하는법을 알려드릴께요! 인바디란? 생체 전기저항법을 이용한 체성분 분석기의... 백전백승 다이어트 성공을 위해 우리 모두 브레이브힐 어람점에서 운동하시는건 어떠세요? 지금 어람점에서는 브레이브힐 8주년 감사이벤트도...



625,백전백승,[인생철학] '지피지기 백전백승'은 없다,"[인생철학] '지피지기 백전백승'은 없다 정말 '지피지기(知彼知己)'면 '백전백승(百戰百勝)'이 가능할까? '지피지기 백전백승(知彼知己 百戰百勝)'이라는 말은 '적을 알고 나를 알면 백 번 싸워도 백 번 이긴다'는 뜻으로 많이 인용된다. 그런데, 정말 그럴까? 조금만 깊이 생각해도 안 맞는..."
626,백전백승,NCS? 정확하게 알고 준비하면 백전백승!,"NCS, 내가 알고 준비해야 백전백승! 이렇게 우리나라의 국가직무능력표준(NCS)의 도입과 기업별 실행 현황까지 알아보았습니다. 취업에 다가갈 첫 번째 발걸음, 그 누구보다 스스로 알고 준비하는 것이 취업을 위한 방향을 잡는데 훨씬 유리하겠죠? * 참고자료 · 국가직무능력표준 홈페이지..."
